2019-11-24T23:02:13.884-0200 [DEBUG] 2019-11-24 23:02:13,884 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 3- numberOfSequence: 4
2019-11-24T23:02:13.885-0200 [DEBUG] 2019-11-24 23:02:13,885 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 4- numberOfSequence:2
2019-11-24T23:02:13.885-0200 [DEBUG] 2019-11-24 23:02:13,885 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - Retorno:1
2019-11-24T23:02:13.885-0200 [INFO] 2019-11-24 23:02:13,885 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - ##### Método finalizado #####
2019-11-24T23:02:13.885-0200 [INFO] 2019-11-24 23:02:13,885 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - ##### Método iniciado #####
2019-11-24T23:02:13.885-0200 [DEBUG] 2019-11-24 23:02:13,885 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - Parâmetros recebidos: 
2019-11-24T23:02:13.885-0200 [DEBUG] 2019-11-24 23:02:13,885 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 1- linhaStart: 0
2019-11-24T23:02:13.886-0200 [DEBUG] 2019-11-24 23:02:13,886 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 2- colunaStart: 5
2019-11-24T23:02:13.886-0200 [DEBUG] 2019-11-24 23:02:13,886 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 3- numberOfSequence: 5
2019-11-24T23:02:13.886-0200 [DEBUG] 2019-11-24 23:02:13,886 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 4- numberOfSequence:2
2019-11-24T23:02:13.886-0200 [DEBUG] 2019-11-24 23:02:13,886 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - Retorno:0
2019-11-24T23:02:13.886-0200 [INFO] 2019-11-24 23:02:13,886 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - ##### Método finalizado #####
2019-11-24T23:02:13.886-0200 [DEBUG] 2019-11-24 23:02:13,886 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchAllDnasVertical - Retorno:1
